GEOID,State,EDCost,PMPM,ED,HO,PO,WhitePop,BlackPop,OtherPop,HealthyPop,ChronicPop,ComplexPop,Unemployment,Income,Poverty,Education,Urbanicity,Accessibility,Availability,RankingsPCP,RankingsFood,RankingsHousing,RankingsExercise,RankingsSocial,ProvDensity
37083931000,NC,185464.7564,3616,2520,39,1657,15.30079711,79.69126206,5.007940821,36.79370425,13.79036277,49.41593298,6.7,32299,13.1,7.1,Rural,16.21508067,0.645061105,55.5493834,5,20,44,12.2,0.6306
37147001600,NC,688486.5293,8714,9452,160,5078,23.45813509,69.54085718,7.001007732,43.74284398,12.95531353,43.30184249,6.2,51940,9.2,28.9,Urban,4.524062929,0.15,97.9403549,6,23,57,9.9,1.1785
37079950102,NC,269509.991,3973,3402,67,2472,33.03084617,57.59760205,9.371551778,38.26300076,13.37696103,48.36003822,13.7,27083,20.8,3,Urban,12.22122915,0.155536959,9.33314667,7,12,34,8.4,1.1612
37147001800,NC,474913.897,7379,6897,117,4075,29.00900901,64.05405405,6.936936937,39.28205128,13.74358974,46.97435897,10.8,28021,21.5,13.3,Urban,7.738111783,0.267209536,97.9403549,6,23,57,9.9,1.1365
37147001700,NC,447410.8321,5701,6258,105,3207,19.96642003,73.5969601,6.436619877,43.33341453,12.9132987,43.75328677,10.4,55583,8.3,31.5,Urban,3.075937,0.15,97.9403549,6,23,57,9.9,1.1564
37065021600,NC,161885.1145,1965,2217,33,1125,52.35293916,40.6686639,6.978396935,41.15034321,13.91562972,44.93402708,11.4,41205,2.8,8.4,Suburban,21.49289095,0.437885177,26.80773493,5,20,31,12.5,1.1415
37195000900,NC,278009.1249,4379,3525,68,2324,25.51790982,65.379546,9.102544178,43.03639307,12.67186728,44.29173965,6.2,46692,9.9,6.7,Suburban,11.86053335,0.479659927,40.30928213,6,20,62,11.2,0.7909
37131920401,NC,608823.7312,9507,8330,117,4612,23.72542025,72.32753262,3.94704713,37.1663757,12.95571528,49.87790902,10.4,26466,23.3,3.5,Suburban,10.76990841,0.348074975,9.333582229,6,16,18,16.3,0.5757
37131920402,NC,73074.91614,920,752,2,429,32.27601035,62.35250601,5.371483639,52.84337979,17.6197219,29.53689831,26.3,47500,0,20.4,Suburban,25,1,9.333582229,6,16,18,16.3,0.5126
37147000702,NC,375745.9263,4731,5260,76,2742,15.95028929,77.47568921,6.574021499,41.12586045,14.38832583,44.48581373,22.1,18800,34.9,6.9,Urban,1.308881,0.15,97.9403549,6,23,57,9.9,1.255
37147002001,NC,534310.2211,6640,7441,124,3745,18.62731826,75.01015297,6.362528767,43.93337408,12.7903423,43.27628362,12.1,37326,23.9,7,Urban,3.226601442,0.15,97.9403549,6,23,57,9.9,1.1968
37147000800,NC,337732.5548,4197,4703,79,2367,18.62731826,75.01015297,6.362528767,43.93337408,12.7903423,43.27628362,16.6,25522,28,9.7,Urban,3.328717173,0.15,97.9403549,6,23,57,9.9,1.2702
